"Specifications of tires %1", "Характеристики шин %1"
"Wide choice of agricultural tires with delivery on OTR Market","Большой выбор сельскохозяйственных шин с доставкой. На OTR Tire Market представлены шины для спецтехники от продавцов из всех уголков мира. Лучшая цена гарантирована!"
"Tires used and new buy/sell on OTR TIRE MARKET","Шины для спецтехники б/у и новые купить/продать на OTR TIRE MARKET"
"Tires used and new buy/sell %1 on OTR TIRE MARKET","Шины для спецтехники б/у и новые купить/продать %1 на OTR TIRE MARKET"
"Wide choice of tires with delivery %1 on OTR Market","Большой выбор шин для спецтехники с доставкой %1. На OTR Tire Market представлены шины для спецтехники от продавцов из всех уголков мира. Лучшая цена гарантирована!"
"Wide choice of tires with delivery on OTR Market","Большой выбор шин для спецтехники с доставкой. На OTR Tire Market представлены шины для спецтехники от продавцов из всех уголков мира. Лучшая цена гарантирована!"
"Your City","Ваш Город"
"Buy","Купить"
"to %1 %2","до %1 %2"
"from %1 %2","от %1 %2"
"for %1","для %1"
"on OTR TIRE MARKET","на OTR TIRE MARKET"
"Wide choice of","Большой выбор"
"with delivery%1","с доставкой%1"
"OTR Market presents tires from direct suppliers from all over the world. Best price guaranteed!","На OTR Tire Market представлены шины для спецтехники от продавцов из всех уголков мира. Лучшая цена гарантирована!"
"OTR tires %1","Шины для спецтехники %1"
"OTR tires","Шины для спецтехники"
"from Afghanistan","из Афганистана"
"from Albania","из Албании"
"from Algeria","из Алжира"
"from Andorra","из Андорры"
"from Angola","из Анголы"
"from Antigua and Barbuda","из Антигуа и Барбуда"
"from Argentina","из Аргентины"
"from Armenia","из Армении"
"from Australia","из Австралии"
"from Austria","из Австрии"
"from Azerbaijan","из Азербайджана"
"from Bahrain","из Бахрейна"
"from Bangladesh","из Бангладеша"
"from Belarus","из Беларуси"
"from Belgium","из Бельгии"
"from Belize","из Белиза"
"from Benin","из Бенина"
"from Bhutan","из Бутана"
"from Bolivia","из Боливии"
"from Bosnia and Herzegovina","из Боснии и Герцеговины"
"from Botswana","из Ботсваны"
"from Brazil","из Бразилии"
"from Brunei","из Брунея"
"from Bulgaria","из Болгарии"
"from Burkina Faso","из Буркина-Фасо"
"from Burundi","из Бурунди"
"from Cabo Verde","из Кабо-Верде"
"from Cambodia","из Камбоджи"
"from Cameroon","из Камеруна"
"from Canada","из Канады"
"from Central African Republic","из ЦАР"
"from Chile","из Чили"
"from China","из Китая"
"from Colombia","из Колумбии"
"from Congo, Republic of the","из Конго"
"from Costa Rica","из Коста-Рики"
"from Croatia","из Хорватии"
"from Cuba","из Кубы"
"from Cyprus","из Кипра"
"from Czech Republic","из Чехии"
"from Denmark","из Дании"
"from Dominica","из Доминики"
"from Dominican Republic","из Доминиканской Республики"
"from Ecuador","из Эквадора"
"from Egypt","из Египта"
"from El Salvador","из Сальвадора"
"from Eritrea","из Эритреи"
"from Estonia","из Эстонии"
"from Ethiopia","из Эфиопии"
"from Fiji","из Фиджи"
"from Finland","из Финляндии"
"from France","из Франции"
"from Georgia","из Грузии"
"from Germany","из Германии"
"from Ghana","из Ганы"
"from Greece","из Греции"
"from Grenada","из Гренады"
"from Guatemala","из Гватемалы"
"from Guinea","из Гвинеи"
"from Guyana","из Гайаны"
"from Haiti","из Гаити"
"from Honduras","из Гондураса"
"from Hungary","из Венгрии"
"from Iceland","из Исландии"
"from India","из Индии"
"from Indonesia","из Индонезии"
"from Iran","из Ирана"
"from Iraq","из Ирака"
"from Ireland","из Ирландии"
"from Israel","из Израиля"
"from Italy","из Италии"
"from Jamaica","из Ямайки"
"from Japan","из Японии"
"from Jordan","из Иордании"
"from Kazakhstan","из Казахстана"
"from Kenya","из Кении"
"from Korea, North","из КНДР"
"from Korea, South","из Республики Корея"
"from Kosovo","из Косово"
"from Kuwait","из Кувейта"
"from Kyrgyzstan","из Киргизии"
"from Laos","из Лаоса"
"from Latvia","из Латвии"
"from Lebanon","из Ливана"
"from Liberia","из Либерии"
"from Libya","из Ливии"
"from Liechtenstein","из Лихтенштейна"
"from Lithuania","из Литвы"
"from Luxembourg","из Люксембурга"
"from Macedonia","из Македонии"
"from Madagascar","из Мадагаскара"
"from Malawi","из Малавии"
"from Malaysia","из Малайзии"
"from Mali","из Мали"
"from Malta","из Мальты"
"from Marshall Islands","из Маршалловых о-в"
"from Mauritania","из Мавритании"
"from Mauritius","из Маврикия"
"from Mexico","из Мексики"
"from Micronesia, Federated States of","из Федеративных Штатов Микронезии"
"from Moldova","из Молдовы"
"from Monaco","из Монако"
"from Mongolia","из Монголии"
"from Montenegro","из Черногории"
"from Morocco","из Марокко"
"from Mozambique","из Мозамбика"
"from Myanmar","из Мьянмы"
"from Namibia","из Намибии"
"from Nauru","из Науру"
"from Nepal","из Непала"
"from Netherlands","из Нидерланд"
"from New Zealand","из Новой Зеландии"
"from Nicaragua","из Никарагуа"
"from Niger","из Нигера"
"from Nigeria","из Нигерии"
"from Oman","из Омана"
"from Pakistan","из Пакистана"
"from Palau","из Палау"
"from Panama","из Панамы"
"from Papua New Guinea","из Папуа – Новой Гвинеи"
"from Paraguay","из Парагвая"
"from Peru","из Перу"
"from Poland","из Польшы"
"from Portugal","из Португалии"
"from Qatar","из Катара"
"from Romania","из Румынии"
"from Russia","из России"
"from Saint Kitts and Nevis","из Сент-Китс и Невис"
"from Saint Lucia","из Сент-Люсии"
"from Saint Vincent and the Grenadines","из Сент-Винсент и Гренадины"
"from Samoa","из Самоа"
"from San Marino","из Сан-Марино"
"from Sao Tome and Principe","из Сан-Томе и Принсипи"
"from Saudi Arabia","из Саудовской Аравии"
"from Senegal","из Сенегала"
"from Serbia","из Сербии"
"from Seychelles","из Сейшельских о-в"
"from Sierra Leone","из Сьерра-Леоне"
"from Singapore","из Сингапура"
"from Slovakia","из Словакии"
"from Slovenia","из Словении"
"from Solomon Islands","из Соломоновых о-в"
"from Somalia","из Сомали"
"from South Africa","из ЮАР"
"from Spain","из Испании"
"from Sri Lanka","из Шри-Ланки"
"from Sudan","из Судана"
"from Sudan, South","из Южного Судана"
"from Suriname","из Суринама"
"from Swaziland","из Свазиленда"
"from Sweden","из Швеции"
"from Switzerland","из Швейцарии"
"from Syria","из Сирии"
"from Taiwan","из Тайваня"
"from Tajikistan","из Таджикистана"
"from Tanzania","из Танзании"
"from Thailand","из Таиланда"
"from Togo","из Того"
"from Tonga","из Тонга"
"from Trinidad and Tobago","из Тринидад и Тобаго"
"from Tunisia","из Туниса"
"from Turkey","из Турции"
"from Turkmenistan","из Туркменистана"
"from Tuvalu","из Тувалу"
"from Uganda","из Уганды"
"from Ukraine","из Украины"
"from United Arab Emirates","из ОАЭ"
"from United Kingdom","из Великобритании"
"from United States","из США"
"from Uruguay","из Уругвая"
"from Uzbekistan","из Узбекистана"
"from Vanuatu","из Вануату"
"from Vatican City","из Ватикана"
"from Venezuela","из Венесуэлы"
"from Vietnam","из Вьетнама"
"from Yemen","из Йемена"
"from Zambia","из Замбии"
"from Zimbabwe","из Зимбабве"
"International Marketplace for selling and buying OTR tires","Международная торговая площадка для продажи и покупки спецшин"
"Day offer","Предложение дня"
"Delivery company","Транспортные компании"
"Top-5 sellers","ТОП-5 ПРОДАВЦОВ"
"New products","НОВОЕ ПОСТУПЛЕНИЕ"
"Become seller","СТАТЬ ПРОДАВЦОМ"
"Register","Регистрация"
"Log in","Войти"
"Want to contacts seller?","Хотите связаться с продавцом?"
"Want to sell tires?","Хотите продать шины?"
"Register to access","Зарегистрируйтесь чтобы получить доступ"
"OTRtiremarket is an international marketplace that helps to connect sellers and buyers together worldwide. OTR Tire Market specializes in the new and used tyres in the following range: OTR, AGR, TBR and Industrial tyres as well as rims. This platform was created in order to help sellers and buyers to connect with each other to find the correct product or access the right company without having to pay unnecessary markups and commissions imposed by middlemen.","OTR Tire Market – это маркетплейс, который помогает продавцам и покупателям индустриальных, сельскохозяйственных, спец шин, а также шин на грузовой транспорт, беспрепятственно находить друг друга как на местном, так и международном уровне.  Эта платформа была создана с целью объединить шинные компании и покупателей по всему миру. Вы легко можете выбрать страну и просмотреть все предложения на рынках не только соседних стран, но дальних иностранных государств, увидеть все лучшие ценовые предложения. Единый фильтр поиска поможет вам легко найти необходимую шину. Теперь знакомство, общение, обмен предложениями и просто новостями в сфере шинного бизнеса может осуществляться в одном месте и главное Вам не нужно больше платить за посреднические услуги."
"OTRtiremarket was created by Natalia Shnypteva in 2018, Natalia as a founder did a great job on building up and designing a marketplace as well as attracting first clients. In 2020 Natalia Van-de-Sian joined the project as a co-owner and one of the Directors. Both ladies have joint experience in the tyre industry for more than 25 years, specialize on supply of direct containers worldwide, have customers and leads in 150 countries, they also have huge experience in negotiation, logistics, digital marketing and customer service support. Our mission is to create a reliable platform that can unite all tyre Sellers and Buyers worldwide. You can find new business partners, locally as well as globally and view their best tyre offers. Moreover, all sellers and buyers can communicate directly with each other, without any intermediate persons. You can find all these advantages in one place. It’s a marketplace that opens the borders, creates new possibilities for your business and helps to grow your sales. For buyers it’s a treasure platform, you can find the owners of the tyres directly and buy at the better prices. We speak Russian, English, German, Dutch and French and know how important the networking in the tyre business is.","Мы создали новый инструмент продаж и маркетинга. Благодаря многочисленным возможностям мы сможем увеличить узнаваемость вашей шинной компании на международном уровне. Наша профессиональная команда оказывает широкий спектр услуг: начиная от полного логистического сопровождения, помощи в ведении переговоров, переводческих услуг и заканчивая маркетинговыми и рекламными услугами. Мы поможем увеличить популярность вашего бренда или компании, увеличить ваши продажи. Если вам нужны определенные шины или диски, мы можем помочь вам найти их по лучшей цене в индивидуальном порядке. "
"And last, but not the least, our team is here to help you with any kind of service: logistics, translations, marketing, negotiation. We can increase the popularity of your brand or company, increase your sales. If you need any specific tyres or rims we can help to source it at the best price.","Несколько слов о создателях проекта. OTR Tire Market был основан Натальей Шныптевой в 2018 году и ей была проделана работа по идеи создания концепции сайта, разработки дизайна площадки, а также по привлечению первых клиентов. В 2020 году Наталья Ван-де-Сян присоединилась к проекту в качестве совладельца и одного из директора компании. Обе Натальи имеют общий опыт работы в шинном бизнесе более 25 лет, специализируются на поставках прямых контейнеров по всему миру, владеют обширной базой данных в более 150 странах мира, а также имеют огромный опыт ведения переговоров, организации логистики, цифрового маркетинга и поддержки клиентов. Совместно они свободно говорят на русском, английском, немецком, голландском и французском языках. Их цель - создать новый глобальный инструмент продаж в шинном бизнесе, чтобы помочь всем продавцам и покупателям легко и быстро находить друг друга."
"About us","О нас"
"show more...","Показать еще..."
"18 languages","18 языков"
"15 world currencies","15 мировых валют"
"100 newly registered companies weekly","100 новых зарегистрированных компаний в неделю"
"100 new products daily","100 новых продуктов в день"
